,Date,Open,High,Low,Close,Adj Close,Volume
8837,2015-12-28,107.589996,107.690002,106.18,106.82,101.320145,26704200.0
8838,2015-12-29,106.959999,109.43,106.860001,108.739998,103.141289,30931200.0
8839,2015-12-30,108.58000200000001,108.699997,107.18,107.32,101.79441800000001,25213800.0
8840,2015-12-31,107.010002,107.029999,104.82,105.260002,99.840477,40635300.0
8841,2016-01-04,102.610001,105.370003,102.0,105.349998,99.92585,67649400.0
8842,2016-01-05,105.75,105.849998,102.410004,102.709999,97.421768,55791000.0
8843,2016-01-06,100.559998,102.370003,99.870003,100.699997,95.515244,68457400.0
8844,2016-01-07,98.68,100.129997,96.43,96.449997,91.484085,81094400.0
8845,2016-01-08,98.550003,99.110001,96.760002,96.959999,91.967812,70798000.0
8846,2016-01-11,98.970001,99.059998,97.339996,98.529999,93.456978,49739400.0
8847,2016-01-12,100.550003,100.690002,98.839996,99.959999,94.813347,49154200.0
8848,2016-01-13,100.32,101.190002,97.300003,97.389999,92.375687,62439600.0
8849,2016-01-14,97.959999,100.480003,95.739998,99.519997,94.396004,63170100.0
8850,2016-01-15,96.199997,97.709999,95.360001,97.129997,92.129074,79010000.0
8851,2016-01-19,98.410004,98.650002,95.5,96.660004,91.683258,53087700.0
8852,2016-01-20,95.099998,98.190002,93.41999799999999,96.790001,91.80658000000001,72334400.0
8853,2016-01-21,97.059998,97.879997,94.940002,96.300003,91.341797,52161500.0
8854,2016-01-22,98.629997,101.459999,98.370003,101.41999799999999,96.198181,65800500.0
8855,2016-01-25,101.519997,101.529999,99.209999,99.440002,94.32012900000001,51794500.0
8856,2016-01-26,99.93,100.879997,98.07,99.989998,94.84180500000001,75077000.0
8857,2016-01-27,96.040001,96.629997,93.339996,93.41999799999999,88.610069,133369700.0
8858,2016-01-28,93.790001,94.519997,92.389999,94.089996,89.245575,55678800.0
8859,2016-01-29,94.790001,97.339996,94.349998,97.339996,92.32824699999999,64416500.0
8860,2016-02-01,96.470001,96.709999,95.400002,96.43,91.465096,40943500.0
8861,2016-02-02,95.41999799999999,96.040001,94.279999,94.480003,89.615509,37357200.0
8862,2016-02-03,95.0,96.839996,94.08000200000001,96.349998,91.38922099999999,45964300.0
8863,2016-02-04,95.860001,97.33000200000001,95.190002,96.599998,92.12352800000001,46471700.0
8864,2016-02-05,96.519997,96.91999799999999,93.690002,94.019997,89.66308599999999,46418100.0
8865,2016-02-08,93.129997,95.699997,93.040001,95.010002,90.607224,54021400.0
8866,2016-02-09,94.290001,95.940002,93.93,94.989998,90.58815,44331200.0
8867,2016-02-10,95.91999799999999,96.349998,94.099998,94.269997,89.90151999999999,42343600.0
8868,2016-02-11,93.790001,94.720001,92.589996,93.699997,89.35791800000001,50074700.0
8869,2016-02-12,94.190002,94.5,93.010002,93.989998,89.634491,40351400.0
8870,2016-02-16,95.019997,96.849998,94.610001,96.639999,92.16166700000001,49057900.0
8871,2016-02-17,96.66999799999999,98.209999,96.150002,98.120003,93.573105,44863200.0
8872,2016-02-18,98.839996,98.889999,96.089996,96.260002,91.799301,39021000.0
8873,2016-02-19,96.0,96.760002,95.800003,96.040001,91.589478,35374200.0
8874,2016-02-22,96.309998,96.900002,95.91999799999999,96.879997,92.390556,34280800.0
8875,2016-02-23,96.400002,96.5,94.550003,94.690002,90.30205500000001,31942600.0
8876,2016-02-24,93.980003,96.379997,93.32,96.099998,91.646713,36255700.0
8877,2016-02-25,96.050003,96.760002,95.25,96.760002,92.276115,27582700.0
8878,2016-02-26,97.199997,98.019997,96.58000200000001,96.910004,92.419174,28991100.0
